개설강좌,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과분야,교과영역,성적부여방법,학점,이론시수,실습시수,요일/교시/강의실,비고
1,기초학부,학사,BS606,01,시스템 뇌과학 개론 (이),"문제일, 김은경, 이성배, 장익수, 백명인, 이효상, 최한경, 전현애, 유우경, 유성운, 오용석",교선필수,교과,이론,기초공학,MIREBraiN,등급,4.0,4.0,0.0,"화09:30-11:30(E4 - 114), 금09:30-11:30(E4 - 114)",영어강의(Delivered in English)
2,기초학부,학사,BS608,01,뇌질환 및 뇌의 질병 (이),"이성배, 김은경, 서병창, 서진수, 오용석, 최한경, 전현애, 유성운",교선필수,교과,이론,기초공학,MIREBraiN,등급,4.0,4.0,0.0,"월09:30-11:30(E4 - 114), 수09:30-11:30(E4 - 114)",영어강의(Delivered in English)
3,기초학부,학사,BS743,01,발생생물학 (이) ,"백명인, 김경진, 유성운, 최한경",교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,목15:00-18:00(E4 - 114),영어강의(Delivered in English)
4,기초학부,학사,BS900,01,Thesis (이.공),장익수,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
5,기초학부,학사,BS900,02,Thesis (이.공),문제일,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
6,기초학부,학사,BS900,03,Thesis (이.공),유성운,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
7,기초학부,학사,BS900,04,Thesis (이.공),김은경,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
8,기초학부,학사,BS900,05,Thesis (이.공),서병창,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
9,기초학부,학사,BS900,06,Thesis (이.공),김규형,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
10,기초학부,학사,BS900,07,Thesis (이.공),고재원,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
11,기초학부,학사,BS900,08,Thesis (이.공),엄지원,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,,
12,기초학부,학사,BS900,09,Thesis (이.공),이성배,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,,
13,기초학부,학사,BS900,10,Thesis (이.공),오용석,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
14,기초학부,학사,BS900,11,Thesis (이.공),이효상,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
15,기초학부,학사,BS900,12,Thesis (이.공),최한경,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
16,기초학부,학사,BS900,13,Thesis (이.공),전현애,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
17,기초학부,학사,BS900,14,Thesis (이.공),유우경,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
18,기초학부,학사,BS900,15,Thesis (이.공),서진수,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
19,기초학부,학사,BS900,16,Thesis (이.공),백명인,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
20,기초학부,학사,CR522,01,융복합 생리학(이.공),"이정협, 문제일, 최홍수, 이창훈, 한형수, 이기준, 오용석, 조희섭, 이성배",교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,목09:00-12:00(E3 - 112),
21,기초학부,학사,CR527,01,융복합 영상학 개론 (이.공),"송철, 문대원, 박상현, 이종찬, 이기준, 황재윤",교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,목13:00-16:00(E5 - 115),영어강의(Delivered in English)
22,기초학부,학사,EM620,01,고급 고체물리학 Ⅰ (이.공),홍정일,교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,"화15:00-16:30(E2 - 324), 목15:00-16:30(E2 - 324)",영어강의(Delivered in English)
23,기초학부,학사,EM675,01,고급 무기화학 Ⅰ (이.공),조재흥,교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,"화13:30-15:00(E2 - 424), 목13:30-15:00(E2 - 424)",영어강의(Delivered in English)
24,기초학부,학사,EM713,01,자성체소재(이.공),김철기,교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,"화09:00-10:30(E2 - 424), 목09:00-10:30(E2 - 424)",영어강의(Delivered in English)
25,기초학부,학사,EM725,01,고급양자역학Ⅱ(이),이재동,교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,"화10:30-12:00(E2 - 324), 목10:30-12:00(E2 - 324)",영어강의(Delivered in English)
26,기초학부,학사,EM900,01,Thesis (이.공),강준구,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
27,기초학부,학사,EM900,02,Thesis (이.공),김철기,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
28,기초학부,학사,EM900,03,Thesis (이.공),김칠민,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
29,기초학부,학사,EM900,04,Thesis (이.공),박진희,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
30,기초학부,학사,EM900,05,Thesis (이.공),서대하,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
31,기초학부,학사,EM900,06,Thesis (이.공),서정필,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
32,기초학부,학사,EM900,07,Thesis (이.공),유천열,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
33,기초학부,학사,EM900,08,Thesis (이.공),이성기,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
34,기초학부,학사,EM900,09,Thesis (이.공),이성원,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
35,기초학부,학사,EM900,10,Thesis (이.공),이신범,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
