개설강좌,    ,    ,      ,  ,                                                                                                   ,                                                                           ,    ,          ,      ,        ,                           ,      ,   ,    ,    ,                                                                        ,
    ,    ,    ,      ,  ,                                                                                                   ,                                                                           ,    ,          ,      ,        ,                           ,      ,   ,    ,    ,                                                                        ,
NO  ,개설전공,개설과정,과목번호  ,분반,교과목명                                                                                               ,담당교수                                                                       ,이수구분,과목세부구분    ,강의실습구분,교과분야    ,교과영역                       ,성적부여방법,학점 ,이론시수,실습시수,요일/교시/강의실                                                               ,비고
1   ,기초학부,학사  ,BS605 ,01,뇌과학 개론(이)                                                                                          ,"최한경, 백명인, 김은경, 서병창, 김규형, 이성배, 오용석, 이효상, 전현애, 유우경, 고재원, 엄지원, 서진수, 문제일, 유성운",교선필수,교과        ,이론    ,기초공학    ,MIREBraiN                  ,등급    ,4.0,4.0 ,0.0 ,"화09:30-11:30(E4 - 114), 목09:30-11:30(E4 - 114)"                        ,
2   ,기초학부,학사  ,BS607 ,01,뇌과학 방법론 (이)                                                                                        ,"오용석, 유성운, 김은경, 이성배, 장익수, 백명인, 최한경, 전현애, 유우경, 고재원, 서진수, 문제일, 이효상"          ,교선필수,교과        ,이론    ,기초공학    ,MIREBraiN                  ,등급    ,4.0,4.0 ,0.0 ,"월09:30-11:30(E4 - 114), 수09:30-11:30(E4 - 114)"                        ,
3   ,기초학부,학사  ,BS732 ,01,시냅스 생물학 동향 (이)                                                                                     ,고재원                                                                        ,교선필수,교과        ,이론    ,기초공학    ,MIREBraiN                  ,등급    ,3.0,3.0 ,0.0 ,목15:00-18:00(E4 - 515)                                                  ,
4   ,기초학부,학사  ,BS900 ,01,Thesis (이.공)                                                                                       ,장익수                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
5   ,기초학부,학사  ,BS900 ,02,Thesis (이.공)                                                                                       ,문제일                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
6   ,기초학부,학사  ,BS900 ,03,Thesis (이.공)                                                                                       ,유성운                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
7   ,기초학부,학사  ,BS900 ,04,Thesis (이.공)                                                                                       ,김은경                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
8   ,기초학부,학사  ,BS900 ,05,Thesis (이.공)                                                                                       ,서병창                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
9   ,기초학부,학사  ,BS900 ,06,Thesis (이.공)                                                                                       ,김규형                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
10  ,기초학부,학사  ,BS900 ,07,Thesis (이.공)                                                                                       ,고재원                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
11  ,기초학부,학사  ,BS900 ,08,Thesis (이.공)                                                                                       ,엄지원                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
12  ,기초학부,학사  ,BS900 ,09,Thesis (이.공)                                                                                       ,이성배                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
13  ,기초학부,학사  ,BS900 ,10,Thesis (이.공)                                                                                       ,오용석                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
14  ,기초학부,학사  ,BS900 ,11,Thesis (이.공)                                                                                       ,이효상                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
15  ,기초학부,학사  ,BS900 ,12,Thesis (이.공)                                                                                       ,최한경                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
16  ,기초학부,학사  ,BS900 ,13,Thesis (이.공)                                                                                       ,전현애                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
17  ,기초학부,학사  ,BS900 ,14,Thesis (이.공)                                                                                       ,유우경                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
18  ,기초학부,학사  ,BS900 ,15,Thesis (이.공)                                                                                       ,서진수                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
